(2, 'P-254', 'заезды', 'весь участок', 3, 213, 'Ось дороги', 'Начало трассы', '0', 0, 3334)
(2, 'P-254', 'заезды', 'весь участок', 3, 1, 'Километровые знаки', 'Значение в обратном направлении', '799', 816, 816)
(2, 'P-254', 'заезды', 'весь участок', 3, 1, 'Километровые знаки', 'Значение в обратном направлении', '800', 1813, 1813)
(2, 'P-254', 'заезды', 'весь участок', 3, 1, 'Километровые знаки', 'Значение в обратном направлении', '801', 2854, 2854)
(2, 'P-254', 'заезды', 'весь участок', 3, 2, 'Километровые знаки', 'Значение в прямом направлении', '799', 816, 816)
(2, 'P-254', 'заезды', 'весь участок', 3, 2, 'Километровые знаки', 'Значение в прямом направлении', '800', 1813, 1813)
(2, 'P-254', 'заезды', 'весь участок', 3, 2, 'Километровые знаки', 'Значение в прямом направлении', '801', 2854, 2854)
(2, 'P-254', 'заезды', 'весь участок', 3, 2767, 'Остановка', 'Название остановки', 'Входная', 762, 762)
(2, 'P-254', 'заезды', 'весь участок', 3, 2768, 'Остановка', 'Полоса торможения длина', '202', 762, 762)
(2, 'P-254', 'заезды', 'весь участок', 3, 2771, 'Остановка', 'Полоса разгона длина', '248', 762, 762)
(2, 'P-254', 'заезды', 'весь участок', 3, 2805, 'Остановка', 'Наличие скамьи', 'да', 762, 762)
(2, 'P-254', 'заезды', 'весь участок', 3, 2914, 'Остановка', 'Техническое состояние', 'удовл.', 762, 762)
(2, 'P-254', 'заезды', 'весь участок', 3, 2915, 'Остановка', 'Наличие туалета', 'нет', 762, 762)
(2, 'P-254', 'заезды', 'весь участок', 3, 2916, 'Остановка', 'Наличие объектов сервиса', 'нет', 762, 762)
(2, 'P-254', 'заезды', 'весь участок', 3, 2917, 'Остановка', 'Наличие ПСП', 'да', 762, 762)
(2, 'P-254', 'заезды', 'весь участок', 3, 2918, 'Остановка', 'Наличие кармана', 'нет', 762, 762)
(2, 'P-254', 'заезды', 'весь участок', 3, 2919, 'Остановка', 'Наличие посадочной площадки', 'да', 762, 762)
(2, 'P-254', 'заезды', 'весь участок', 3, 2920, 'Остановка', 'Наличие павильона', 'да', 762, 762)
(2, 'P-254', 'заезды', 'весь участок', 3, 2930, 'Остановка', 'Наличие дорожных знаков', 'да', 762, 762)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 2, 2)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 29, 29)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 59, 59)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', -127, -127)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 120, 120)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 150, 150)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 179, 179)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 213, 213)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 242, 242)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 272, 272)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 302, 302)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 332, 332)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 362, 362)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 392, 392)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 422, 422)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 452, 452)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 482, 482)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 502, 502)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 533, 533)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 563, 563)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 1304, 1304)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 594, 594)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 625, 625)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 657, 657)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 688, 688)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 718, 718)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 740, 740)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 778, 778)
